Channel Name,Relevant Countries,Relevant Units,Mandatory,Region,News Category,Tag
"Group News","Austria,Croatia,Denmark","Finance, Strategy & Transformation,DBS,eCommerce,Group Audit","True","DACH","Group News","Group News"
"DBS","[]","DBS","False","[]","Business Units","DBS"
"eCommerce","[]","eCommerce","False","[]","Business Units","eCommerce"
"Issuing Solutions","[]","Issuing Solutions","False","[]","Business Units","Issuing Solutions"
"Merchant Solutions","[]","MS","False","[]","Business Units","Merchant Solutions"
"Finance, Strategy & Transformation","[]","Finance, Strategy & Transformation","False","[]","Group Functions","Finance, Strategy & Transformation"
"HR","[]","HR","False","[]","Group Functions","HR"
"IT","[]","IT","False","[]","Group Functions","IT"
"Group Corporate & Ext. Affairs and ESG","[]","Group Corporate & Ext. Affairs and ESG","False","[]","Group Functions","Group Corporate & Ext. Affairs and ESG"
"Group Risk Management","[]","Group Risk Management","False","[]","Group Functions","Group Risk Management"
"Group Audit","[]","Group Audit","False","[]","Group Functions","Group Audit"
"Operations Transformation","[]","Operations Transformation","False","[]","Group Functions","Operations Transformation"
"Viva Engage","[]","[]","False","[]","Other","Viva Engage"
"Italy","Italy","[]","False","Italy","Countries","Italy"
"DACH","[]","[]","False","[]","Regions","DACH"
"Austria","[]","[]","False","[]","Countries","Austria"
"Germany","[]","[]","False","[]","Countries","Germany"
"Switzerland","[]","[]","False","[]","Countries","Switzerland"
"Nordics","Denmark,Finland,Norway,Sweden","[]","False","[]","Regions","Nordics"
"Denmark","Denmark","[]","False","[]","Countries","Denmark"
"Finland","Finland","[]","False","[]","Countries","Finland"
"Norway","Norway","[]","False","[]","Countries","Norway"
"Sweden","[]","[]","False","[]","Countries","Sweden"
"CSEE","[]","[]","False","[]","Regions","CSEE"
"Central Europe","[]","[]","False","[]","Regions","Central Europe"
"Croatia/Slovenia","[]","[]","False","[]","Countries","Croatia/Slovenia"
"Greece","[]","[]","False","[]","Countries","Greece"
"PeP","[]","[]","False","[]","Other","PeP"
"P24","[]","[]","False","[]","Other","P24"
"LinkedIn","[]","[]","False","[]","External News","LinkedIn"
"Press cuttings","[]","[]","False","[]","External News","Press cuttings"
