"ExchangeObjectId","DisplayName","WindowsEmailAddress"
"d5c62fab-1527-4061-91eb-53a92c980e53","Nexi Intra News Channel Austria","nexi-intra-news-channel-austria@nexigroup.com"
"543ed539-f63e-4d63-a2ca-3e6b0ac8d0be","Nexi Intra News Channel Central Europe","nexi-intra-news-channel-central-europe@nexigroup.com"
"74cc841a-e6d8-4b64-8409-2be86f98ae6e","Nexi Intra News Channel Croatia/Slovenia","nexi-intra-news-channel-croatiaslovenia@nexigroup.com"
"4cac9d53-8711-4bec-be7a-a756d4a13e01","Nexi Intra News Channel CSEE","nexi-intra-news-channel-csee@nexigroup.com"
"884c8d60-7f9a-4d9b-929f-28e47c4ddbbd","Nexi Intra News Channel DACH","nexi-intra-news-channel-dach@nexigroup.com"
"9fe05240-5689-4394-8ace-9b6a38f2475e","Nexi Intra News Channel DBS","nexi-intra-news-channel-dbs@nexigroup.com"
"5c4d37c5-4af3-42ba-8ef3-94280f6912c6","Nexi Intra News Channel Denmark","nexi-intra-news-channel-denmark@nexigroup.com"
"c63c80c7-5e9a-478a-928d-f2e94a163ab8","Nexi Intra News Channel eCommerce","nexi-intra-news-channel-ecommerce@nexigroup.com"
"8cc516f9-3436-4ed9-b907-f4b7dd421774","Nexi Intra News Channel Finance, Strategy & Transformation","nexi-intra-news-channel-finance-strategy--transformation@nexigroup.com"
"dfb7260e-dc77-447e-9f57-87edb11fec21","Nexi Intra News Channel Finland","nexi-intra-news-channel-finland@nexigroup.com"
"ae029aa8-3b1c-4397-b55f-3c5cff292dd6","Nexi Intra News Channel Germany","nexi-intra-news-channel-germany@nexigroup.com"
"b5ac7943-a797-4db2-a704-ec65e1b811ab","Nexi Intra News Channel Greece","nexi-intra-news-channel-greece@nexigroup.com"
"e627a570-d31f-468c-a061-b435007e4245","Nexi Intra News Channel Group Audit","nexi-intra-news-channel-group-audit@nexigroup.com"
"42ebed2a-0722-41ea-80a8-eabc890495fc","Nexi Intra News Channel Group News","nexi-intra-news-channel-group-news@nexigroup.com"
"c00ef448-c6cc-45cb-a205-b57aa4b0ed41","Nexi Intra News Channel Group Risk Management","nexi-intra-news-channel-group-risk-management@nexigroup.com"
"62a144cf-741b-4baa-aadb-b27abd412d29","Nexi Intra News Channel HR","nexi-intra-news-channel-hr@nexigroup.com"
"aaea2c6e-2915-4b10-b89d-34463dc10b11","Nexi Intra News Channel Issuing Solutions","nexi-intra-news-channel-issuing-solutions@nexigroup.com"
"a229dce4-37b2-4714-8294-4c17f2d0569e","Nexi Intra News Channel IT","nexi-intra-news-channel-it@nexigroup.com"
"33f3b788-899b-4099-b59d-154883f77fe7","Nexi Intra News Channel Italy","nexi-intra-news-channel-italy@nexigroup.com"
"dcb767cb-5969-4a7c-8d7b-ab40a4497cfc","Nexi Intra News Channel LinkedIn","nexi-intra-news-channel-linkedin@nexigroup.com"
"e927ae97-9fe7-4771-b0db-47591be81a8c","Nexi Intra News Channel Merchant Solutions","nexi-intra-news-channel-merchant-solutions@nexigroup.com"
"5da046c0-8587-421d-b12c-17fbcf6d7f2a","Nexi Intra News Channel Nordics","nexi-intra-news-channel-nordics@nexigroup.com"
"472c728f-4743-4ea4-bd32-035c0e94a125","Nexi Intra News Channel Norway","nexi-intra-news-channel-norway@nexigroup.com"
"ff682bb3-bf5f-4367-9fd6-558168a105ee","Nexi Intra News Channel Operations Transformation","nexi-intra-news-channel-operations-transformation@nexigroup.com"
"7b602248-ef6c-48e8-bedd-c4cd5e30c533","Nexi Intra News Channel P24","nexi-intra-news-channel-p24@nexigroup.com"
"9b67f856-2f19-4fe8-add7-58e8243269cd","Nexi Intra News Channel PeP","nexi-intra-news-channel-pep@nexigroup.com"
"3fd57567-279a-413b-af99-920a513a6d5a","Nexi Intra News Channel Press cuttings","nexi-intra-news-channel-press-cuttings@nexigroup.com"
"cd1c2464-e2ad-4e57-8977-347e4f0ac405","Nexi Intra News Channel Sweden","nexi-intra-news-channel-sweden@nexigroup.com"
"7e4fd913-c1cc-4d38-8c51-b932e8580dfb","Nexi Intra News Channel Switzerland","nexi-intra-news-channel-switzerland@nexigroup.com"
"ec08122a-0a59-4e5b-af8c-8769142088f4","Nexi Intra News Channel Viva Engage","nexi-intra-news-channel-viva-engage@nexigroup.com"
